CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
248051273,18,MANHATTAN,01/01/2016,07:00:00,12/31/2017,16:30:00,COMPLETED,(null),N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,(null),180,COURSE OF SEXUAL CONDUCT AGAIN,PUBLIC SCHOOL,07/13/2022,988451,217993,40.7650240788333,-73.9848359497083,"(40.7650240788333, -73.9848359497083)"
247252694,25,MANHATTAN,01/01/2016,00:00:00,06/20/2022,00:00:00,COMPLETED,(null),N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,(null),718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",OTHER,06/20/2022,1003463,225899,40.786696,-73.930618,"(40.786696, -73.930618)"
253699255,26,MANHATTAN,01/01/2016,00:00:00,01/01/2017,00:00:00,COMPLETED,(null),N.Y. HOUSING POLICE,233,MISDEMEANOR,INSIDE,SEX CRIMES,(null),175,"SEXUAL ABUSE 3,2",RESIDENCE - PUBLIC HOUSING,11/06/2022,996351,236132,40.8148034786258,-73.95628448405,"(40.8148034786258, -73.95628448405)"
239661733,1,MANHATTAN,01/04/2016,00:00:00,04/23/2021,23:59:00,COMPLETED,(null),N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),407,"LARCENY,GRAND BY DISHONEST EMP",COMMERCIAL BUILDING,01/25/2022,981926,196411,40.705779,-74.008381,"(40.705779, -74.008381)"
252762692,1,MANHATTAN,01/20/2016,09:00:00,06/30/2022,09:00:00,COMPLETED,(null),N.Y. POLICE DEPT,126,FELONY,INSIDE,MISCELLANEOUS PENAL LAW,(null),644,"FALSE REPORT 1,FIRE",COMMERCIAL BUILDING,10/19/2022,982157,197546,40.708897,-74.007549,"(40.708897, -74.007549)"
254453666,23,MANHATTAN,02/01/2016,00:01:00,12/31/2018,00:01:00,COMPLETED,(null),DISTRICT ATTORNEY OFFICE,109,FELONY,INSIDE,GRAND LARCENY,(null),434,"LARCENY,GRAND BY OPEN BANK ACCT",(null),11/21/2022,999769,228032,40.792559,-73.943953,"(40.792559, -73.943953)"
240191877,24,MANHATTAN,03/22/2016,00:01:00,03/22/2018,00:01:00,COMPLETED,(null),N.Y. HOUSING POLICE,116,FELONY,INSIDE,SEX CRIMES,(null),176,SEX CRIMES,RESIDENCE - PUBLIC HOUSING,02/01/2022,993369,229307,40.7960743128304,-73.9670667458109,"(40.7960743128304, -73.9670667458109)"
254648119,19,MANHATTAN,04/01/2016,12:00:00,04/01/2016,12:30:00,COMPLETED,(null),N.Y. POLICE DEPT,106,FELONY,INSIDE,FELONY ASSAULT,(null),105,STRANGULATION 1ST,RESIDENCE - APT. HOUSE,11/25/2022,999088,220785,40.772668,-73.946426,"(40.772668, -73.946426)"
252127645,18,MANHATTAN,04/04/2016,09:00:00,10/15/2021,10:15:00,COMPLETED,(null),DISTRICT ATTORNEY OFFICE,109,FELONY,INSIDE,GRAND LARCENY,(null),407,"LARCENY,GRAND BY DISHONEST EMP",COMMERCIAL BUILDING,10/06/2022,992188,215926,40.759341,-73.971345,"(40.759341, -73.971345)"
244310756,18,MANHATTAN,04/16/2016,00:01:00,04/18/2016,23:59:00,COMPLETED,(null),N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,(null),153,RAPE 3,HOTEL/MOTEL,04/14/2022,988451,217993,40.7650240788333,-73.9848359497083,"(40.7650240788333, -73.9848359497083)"
